,_id,name,url,ram,rom,price,createdDate,color,status,url_img,store,id
26,6406fb692b331ecaa4c512a3,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,512.0,33990000,2023-01-10 20:58:07.383649,GRAPHITE,0,unknown,24hstore,8e77847d417574aaf2f6c4f1cc47a54dccbcb27f3414c9c4e439f2c1ef2c8
27,6406fb692b331ecaa4c512a4,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,1.0,38190000,2023-01-10 20:58:07.383649,GRAPHITE,0,unknown,24hstore,4b3b537f70bcb48dbd02034f351e9eef1af6f9a787b1bf81ebefd28be63893
28,6406fb692b331ecaa4c512a5,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,128.0,27490000,2023-01-10 20:58:07.383649,YELLOW,0,unknown,24hstore,9d941248c5c12fdce293f6bb2a46ccb7e1ed8f4b6bc8253aad71662cdf9cf0
29,6406fb692b331ecaa4c512a6,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,256.0,28990000,2023-01-10 20:58:07.383649,YELLOW,0,unknown,24hstore,fa894acc11a43de82513d79033738fb4b9ba864ac37abd0a5c032103eadce9d
30,6406fb692b331ecaa4c512a7,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,512.0,33990000,2023-01-10 20:58:07.383649,YELLOW,0,unknown,24hstore,8be21398336de57b8fe55c31f95483baa7312a32a64882731b511acbf959a
31,6406fb692b331ecaa4c512a8,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,1.0,38190000,2023-01-10 20:58:07.383649,YELLOW,0,unknown,24hstore,63d15fb1e828cbf619ac628a3e47feb2e7149319e4566ddf3875071beafafd7
32,6406fb692b331ecaa4c512a9,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,128.0,27490000,2023-01-10 20:58:07.383649,GREEN,0,unknown,24hstore,31177c1f29c221c36ca6dfd816cbe7e7868be40be3694875707cc7e9852e
33,6406fb692b331ecaa4c512aa,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,256.0,28990000,2023-01-10 20:58:07.383649,GREEN,0,unknown,24hstore,1ee69fd573da4a1279456ff8f3f2a024b60a3b6ce6fabd3b47f2dd260a9af55
34,6406fb692b331ecaa4c512ab,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,512.0,33990000,2023-01-10 20:58:07.383649,GREEN,0,unknown,24hstore,b68cbb1f8ad4ab4387fdf15c86f19c4190a022846bc6d6cd4e52db30ab40ad
35,6406fb692b331ecaa4c512ac,IPHONE 13 PRO MAX,https://24hstore.vn/iphone-13-pro-max-moi/iphone-13-pro-max-1tb-p5916,6.0,1.0,38190000,2023-01-10 20:58:07.383649,GREEN,0,unknown,24hstore,64659c8deaec23d8eebefec741239d544c7b6edb574d1646cdfe371cf9e4c
36,6406fb692b331ecaa4c512ad,IPHONE 14 PRO,https://24hstore.vn/iphone-14-pro-moi/iphone-14-pro-1tb-p6622,6.0,128.0,27990000,2023-01-10 20:58:07.383649,PURPLE,0,unknown,24hstore,c8d4e21441b45c22bab4385c8a17929e24a99863e3b79567b9e80f0be76
37,6406fb692b331ecaa4c512ae,IPHONE 14 PRO,https://24hstore.vn/iphone-14-pro-moi/iphone-14-pro-1tb-p6622,6.0,256.0,30490000,2023-01-10 20:58:07.383649,PURPLE,0,unknown,24hstore,8c51824701fea3dea6ccc4a6286597339aeff9f1d29e6372937ac3347dfc9e5
38,6406fb692b331ecaa4c512af,IPHONE 14 PRO,https://24hstore.vn/iphone-14-pro-moi/iphone-14-pro-1tb-p6622,6.0,512.0,34490000,2023-01-10 20:58:07.383649,PURPLE,0,unknown,24hstore,ec1732d14bb511bd337223d678265d989ed38b085cfbbc25e4d7e9f4aaa99
39,6406fb692b331ecaa4c512b0,IPHONE 14 PRO,https://24hstore.vn/iphone-14-pro-moi/iphone-14-pro-1tb-p6622,6.0,1.0,37990000,2023-01-10 20:58:07.383649,PURPLE,0,unknown,24hstore,24adbcf36bae9c8b1a43ea627bfcc14b92a923a01934208d41e94378841db9
40,6406fb692b331ecaa4c512b1,IPHONE 13 PRO,https://24hstore.vn/iphone-13-pro/iphone-13-pro-1tb-p5913,6.0,128.0,23690000,2023-01-10 20:58:07.383649,YELLOW,0,unknown,24hstore,9931381aa1610b9e6ad15baeba9d59136409ae4d580d6aa1a671f6a115698ae
41,6406fb692b331ecaa4c512b2,IPHONE 13 PRO,https://24hstore.vn/iphone-13-pro/iphone-13-pro-1tb-p5913,6.0,256.0,26690000,2023-01-10 20:58:07.383649,YELLOW,0,unknown,24hstore,c74980dbcc8548283ac8a10f24c623a32cfc1b7cd85c2ee67c78523d7ed8b65
42,6406fb692b331ecaa4c512b3,IPHONE 13 PRO,https://24hstore.vn/iphone-13-pro/iphone-13-pro-1tb-p5913,6.0,512.0,30990000,2023-01-10 20:58:07.383649,YELLOW,0,unknown,24hstore,c4ab1f08026acbb16fa26177857a86f449b715c7ec512964f2c651bd05f
